YearofBirth,Gender,Ethnicity,Child'sFirstName,Count,Rank
2016,FEMALE,ASIANANDPACIFICISLANDER,Olivia,172,1
2016,FEMALE,ASIANANDPACIFICISLANDER,Chloe,112,2
2016,FEMALE,ASIANANDPACIFICISLANDER,Sophia,104,3
2016,FEMALE,ASIANANDPACIFICISLANDER,Emma,99,4
2016,FEMALE,ASIANANDPACIFICISLANDER,Emily,99,4
2016,FEMALE,ASIANANDPACIFICISLANDER,Mia,79,5
2016,FEMALE,ASIANANDPACIFICISLANDER,Charlotte,59,6
2016,FEMALE,ASIANANDPACIFICISLANDER,Sarah,57,7
2016,FEMALE,ASIANANDPACIFICISLANDER,Isabella,56,8
2016,FEMALE,ASIANANDPACIFICISLANDER,Hannah,56,8
2016,FEMALE,ASIANANDPACIFICISLANDER,Grace,54,9
2016,FEMALE,ASIANANDPACIFICISLANDER,Angela,54,9
2016,FEMALE,ASIANANDPACIFICISLANDER,Ava,53,10
2016,FEMALE,ASIANANDPACIFICISLANDER,Joanna,49,11
2016,FEMALE,ASIANANDPACIFICISLANDER,Amelia,44,12
2016,FEMALE,ASIANANDPACIFICISLANDER,Evelyn,42,13
2016,FEMALE,ASIANANDPACIFICISLANDER,Ella,42,13
2016,FEMALE,ASIANANDPACIFICISLANDER,Arya,42,13
2016,FEMALE,ASIANANDPACIFICISLANDER,Ariana,40,14
2016,FEMALE,ASIANANDPACIFICISLANDER,Maya,39,15
2016,FEMALE,ASIANANDPACIFICISLANDER,Alina,39,15
2016,FEMALE,ASIANANDPACIFICISLANDER,Fiona,35,16
2016,FEMALE,ASIANANDPACIFICISLANDER,Ashley,34,17
2016,FEMALE,ASIANANDPACIFICISLANDER,Anaya,34,17
2016,FEMALE,ASIANANDPACIFICISLANDER,Fatima,34,17
2016,FEMALE,ASIANANDPACIFICISLANDER,Anna,34,17
2016,FEMALE,ASIANANDPACIFICISLANDER,Aria,33,18
2016,FEMALE,ASIANANDPACIFICISLANDER,Abigail,32,19
2016,FEMALE,ASIANANDPACIFICISLANDER,Victoria,32,19
2016,FEMALE,ASIANANDPACIFICISLANDER,Abby,31,20
2016,FEMALE,ASIANANDPACIFICISLANDER,Zoe,31,20
2016,FEMALE,ASIANANDPACIFICISLANDER,Ayesha,30,21
2016,FEMALE,ASIANANDPACIFICISLANDER,Vivian,30,21
2016,FEMALE,ASIANANDPACIFICISLANDER,Claire,30,21
2016,FEMALE,ASIANANDPACIFICISLANDER,Audrey,29,22
2016,FEMALE,ASIANANDPACIFICISLANDER,Jessica,29,22
2016,FEMALE,ASIANANDPACIFICISLANDER,Zoey,29,22
2016,FEMALE,ASIANANDPACIFICISLANDER,Sophie,28,23
2016,FEMALE,ASIANANDPACIFICISLANDER,Rachel,28,23
2016,FEMALE,ASIANANDPACIFICISLANDER,Alice,28,23
